city,latitude,longitude,temp_max,humidity,cloudiness,wind_speed,country,date
Victoria Point,-27.58,153.3,84.0,68,89,8.01,AU,1604107731
Naryan-Mar,67.67,53.09,32.31,95,0,14.14,RU,1604107731
Juneau,58.3,-134.42,39.2,93,90,13.87,US,1604107697
Sapa,5.15,120.32,80.82,83,100,13.11,PH,1604107732
Rixheim,47.75,7.4,43.0,93,35,3.36,FR,1604107732
Ouango,4.31,22.56,68.29,95,29,1.79,CF,1604107732
Cayenne,4.93,-52.33,80.6,94,20,2.24,GF,1604107733
Abu Kamal,34.45,40.92,65.03,24,0,7.56,SY,1604107733
Salym,60.06,71.48,32.0,97,100,9.51,RU,1604107733
Sambava,-14.27,50.17,70.63,79,80,14.72,MG,1604107733
Waipawa,-41.41,175.52,64.4,88,100,25.28,NZ,1604107733
Christchurch,-43.53,172.63,77.0,44,87,11.41,NZ,1604107733
Darnah,32.77,22.64,68.76,65,15,12.19,LY,1604107733
Algiers,36.75,3.04,48.2,93,20,2.24,DZ,1604107733
Port-Cartier,50.03,-66.87,30.2,68,0,6.93,CA,1604107734
Khandyga,62.67,135.6,-1.64,85,18,3.02,RU,1604107734
Dunedin,-45.87,170.5,61.0,74,99,5.01,NZ,1604107494
Merauke,-8.47,140.33,87.26,58,0,6.33,ID,1604107734
Krasnosel'kup,65.7,82.47,12.0,96,100,15.75,RU,1604107734
Klaksvík,62.23,-6.59,48.2,81,25,24.16,FO,1604107734
Pinotepa Nacional,16.32,-98.02,76.86,87,97,0.54,MX,1604107735
Fairbanks,64.84,-147.72,14.0,78,90,3.36,US,1604107735
Sandwick,60.0,-1.25,48.2,76,100,17.22,GB,1604107735
Kostyantynivka,48.53,37.71,50.13,86,100,1.83,UA,1604107735
Monrovia,6.3,-10.8,77.0,94,75,6.98,LR,1604107735
Haines Junction,60.75,-137.51,19.4,67,100,5.82,CA,1604107735
Lagoa,39.05,-27.98,67.5,94,100,12.82,PT,1604107736
Ihosy,-22.4,46.12,56.5,85,26,9.86,MG,1604107736
Ahipara,-35.17,173.17,67.23,86,49,13.47,NZ,1604107736
Porto-Novo,6.5,2.6,82.4,83,20,10.29,BJ,1604107736
Dandong,40.13,124.39,53.55,56,100,11.07,CN,1604107736
Bilibino,68.05,166.44,6.3,89,79,1.12,RU,1604107736
Khāsh,28.22,61.22,39.81,64,0,1.99,IR,1604107737
Bestöbe,52.5,73.1,35.76,88,86,5.48,KZ,1604107737
Morondava,-20.28,44.28,75.94,48,0,13.98,MG,1604107737
Nālūt,30.33,10.85,54.99,85,1,11.18,LY,1604107737
Matamoros,25.53,-103.25,75.2,22,20,6.24,MX,1604107737
Kysyl-Syr,63.9,122.76,-9.36,88,7,0.96,RU,1604107737
Clyde River,70.47,-68.59,8.6,84,1,5.82,CA,1604107447
Plymouth,41.83,-70.83,32.0,96,90,8.05,US,1604107738
Erenhot,43.65,111.98,35.55,63,0,25.12,CN,1604107738
Duncan,34.5,-97.96,53.6,46,1,3.36,US,1604107552
Turochak,52.26,87.12,30.6,98,100,4.29,RU,1604107738
São João da Barra,-21.64,-41.05,73.62,96,100,10.02,BR,1604107738
Rome,43.21,-75.46,30.99,74,1,3.36,US,1604107578
Abu Dhabi,24.47,54.37,73.4,88,0,9.95,AE,1604107739
Nyurba,63.28,118.33,-3.68,90,48,2.53,RU,1604107739
Outlook,51.5,-107.05,50.0,58,100,14.99,CA,1604107739
Springbok,-29.66,17.89,52.18,43,0,8.25,ZA,1604107739
Camacupa,-12.02,17.48,63.61,93,100,1.95,AO,1604107739
Hamilton,39.18,-84.53,42.01,93,20,3.36,US,1604107519
Rameswaram,9.28,79.3,82.87,67,100,4.81,IN,1604107739
Kerema,-7.96,145.78,83.52,69,73,5.23,PG,1604107740
Hingoli,19.72,77.15,69.93,65,47,4.41,IN,1604107740
San Lorenzo,-25.33,-57.53,71.6,43,0,16.11,PY,1604107740
Ves'yegonsk,58.66,37.26,41.18,88,85,3.56,RU,1604107740
Caucaia,-3.74,-38.65,80.6,78,0,6.93,BR,1604107740
Hay River,60.82,-115.8,21.2,85,100,3.36,CA,1604107740
Yerbogachën,61.28,108.01,10.13,93,100,6.85,RU,1604107741
Laje,-10.18,-40.97,74.7,67,97,7.11,BR,1604107741
Abomsa,9.98,39.98,65.34,47,11,4.63,ET,1604107741
Skibbereen,51.55,-9.27,55.4,100,90,20.8,IE,1604107741
Ekuvukeni,-28.47,30.16,60.13,82,100,3.96,ZA,1604107741
Waingapu,-9.66,120.26,85.68,64,71,6.89,ID,1604107741
Kidal,18.44,1.41,76.55,18,0,11.3,ML,1604107742
Moerai,-22.43,-151.33,72.0,86,100,21.39,PF,1604107742
Grand-Santi,4.25,-54.38,81.77,64,3,4.72,GF,1604107742
Kargil,34.57,76.1,23.0,82,0,0.11,IN,1604107742
Yulara,-25.24,130.99,75.2,16,0,13.87,AU,1604107742
Qaqortoq,60.72,-46.03,23.0,73,88,1.12,GL,1604107742
Mookane,-23.69,26.66,72.54,32,0,13.53,BW,1604107743
Kumul,42.8,93.45,35.46,73,0,5.7,CN,1604107743
Niamey,13.51,2.11,80.6,30,0,5.82,NE,1604107743
Nuevitas,21.55,-77.26,78.8,88,56,8.05,CU,1604107743
Yucaipa,34.03,-117.04,82.4,17,5,9.17,US,1604107743
Verāval,20.9,70.37,77.49,58,0,7.83,IN,1604107743
Wum,6.38,10.07,64.09,91,0,2.39,CM,1604107744
Russell,32.35,-85.2,57.2,87,1,3.36,US,1604107744
Neuruppin,52.93,12.8,55.99,99,100,1.99,DE,1604107744
San Onofre,9.74,-75.53,78.69,85,8,5.7,CO,1604107744
Roald,62.58,6.13,46.4,87,100,14.99,NO,1604107519
Dali,25.7,100.18,59.07,85,65,2.39,CN,1604107744
Hudson Bay,52.85,-102.38,33.93,91,100,10.09,CA,1604107744
Khilok,51.37,110.47,25.16,95,100,9.17,RU,1604107745
Oranjestad,12.52,-70.03,84.2,79,40,8.05,AW,1604107694
Inhambane,-23.86,35.38,73.94,78,90,11.74,MZ,1604107745
